iter	Passed	Remaining
0	2	274
1	6	315
2	9	294
3	12	308
4	17	325
5	20	316
6	23	306
7	26	309
8	29	298
9	32	292
10	34	282
11	37	276
12	40	271
13	43	264
14	45	256
15	47	251
16	50	246
17	53	243
18	56	240
19	59	236
20	61	232
21	64	227
22	66	223
23	69	221
24	73	219
25	75	215
26	77	210
27	80	206
28	82	202
29	86	202
30	89	198
31	91	194
32	93	190
33	96	186
34	98	183
35	101	180
36	104	177
37	106	174
38	109	170
39	112	168
40	114	165
41	118	163
42	120	159
43	123	156
44	126	154
45	128	151
46	132	149
47	134	146
48	137	143
49	139	139
50	142	136
51	145	134
52	147	130
53	150	127
54	152	124
55	154	121
56	157	118
57	160	116
58	163	113
59	165	110
60	167	107
61	169	104
62	171	100
63	173	97
64	174	94
65	176	91
66	178	87
67	180	84
68	181	81
69	183	78
70	184	75
71	186	72
72	188	69
73	189	66
74	191	63
75	193	61
76	195	58
77	196	55
78	198	52
79	199	49
80	201	47
81	202	44
82	204	41
83	207	39
84	208	36
85	210	34
86	211	31
87	212	29
88	214	26
89	215	23
90	217	21
91	219	19
92	220	16
93	222	14
94	223	11
95	225	9
96	226	7
97	228	4
98	229	2
99	231	0
